"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.001920859E0,6.506149458E1,2.547035498E1,2.378819612E1,0.000000000E0,NaN,8.434983253E0,1.448373699E1
3.986280845E0,6.506149170E1,2.547034747E1,2.233421309E1,0.000000000E0,NaN,1.215568829E1,2.208172035E1
5.022285647E0,6.506149536E1,2.547032910E1,2.342367241E1,0.000000000E0,NaN,8.483933449E0,1.420885468E1
6.071137250E0,6.506150765E1,2.547033301E1,2.335926215E1,0.000000000E0,NaN,1.492381573E1,3.005315399E1
7.086766116E0,6.506151045E1,2.547033125E1,2.241482263E1,0.000000000E0,NaN,7.424946308E0,1.081569767E1
8.066021325E0,6.506151216E1,2.547028783E1,2.540526102E1,1.498044848E0,8.627140999E0,4.112095833E0,7.945154667E0
9.080048547E0,6.506153340E1,2.547029485E1,2.695685281E1,1.393032670E0,9.913709641E0,3.025423050E0,6.088238716E0
9.934306116E0,6.506153429E1,2.547030123E1,2.673921273E1,1.338705659E0,3.852531314E-1,2.512984276E0,5.052143097E0
1.093106527E1,6.506154126E1,2.547030777E1,2.578225599E1,1.336811662E0,6.971796989E0,2.302639008E0,4.350860596E0
1.194505758E1,6.506154816E1,2.547031170E1,2.538332187E1,1.275095582E0,4.372488499E0,2.177448988E0,3.786894798E0
1.286538259E1,6.506154663E1,2.547031738E1,2.321107542E1,1.147444010E0,3.574353943E2,2.072008133E0,3.395551682E0
1.386541859E1,6.506155313E1,2.547032066E1,2.191385102E1,1.227926612E0,3.574825134E2,2.023373604E0,3.106718779E0
1.486544459E1,6.506156167E1,2.547032565E1,2.100554509E1,1.422260284E0,5.523530006E0,1.953020573E0,3.000000000E0
1.586546659E1,6.506157539E1,2.547033312E1,2.046517472E1,1.429225087E0,9.072857857E0,1.902492046E0,3.000000000E0
1.686562759E1,6.506158894E1,2.547034252E1,2.046160739E1,1.256231189E0,1.112782669E1,1.898227930E0,3.000000000E0
1.786550159E1,6.506160101E1,2.547034898E1,2.048239328E1,1.166889310E0,4.528903008E0,1.884840965E0,3.000000000E0
1.886557159E1,6.506161269E1,2.547035059E1,2.043047170E1,1.370456457E0,3.566415100E2,1.886243582E0,3.000000000E0
1.986582559E1,6.506162568E1,2.547034765E1,2.052643873E1,1.426255345E0,3.553567200E2,1.887864947E0,3.000000000E0
2.086568059E1,6.506163839E1,2.547034513E1,2.053766484E1,1.394883752E0,7.678292394E-1,1.908662558E0,3.000000000E0
2.186579259E1,6.506165107E1,2.547034524E1,2.048191747E1,1.377772331E0,4.212402821E0,2.001408339E0,3.000000000E0
2.286562559E1,6.506166479E1,2.547034572E1,2.054176767E1,1.386894703E0,3.596632385E2,1.719362974E0,3.000000000E0
2.386560259E1,6.506168095E1,2.547034120E1,2.079513658E1,1.416618705E0,3.586270752E2,1.456194639E0,3.000000000E0
2.486561659E1,6.506169558E1,2.547033978E1,2.071342382E1,1.441821814E0,3.536477051E2,1.414019346E0,3.000000000E0
2.586590059E1,6.506170797E1,2.547033691E1,2.046928567E1,1.417042732E0,3.545843811E2,1.384878278E0,3.000000000E0
2.686581459E1,6.506171929E1,2.547033159E1,2.007825431E1,1.372873783E0,3.532764893E2,1.269714355E0,3.000000000E0
2.786599159E1,6.506173279E1,2.547032411E1,2.001325875E1,1.422147751E0,3.472233887E2,1.191416025E0,3.000000000E0
2.886604459E1,6.506174369E1,2.547031808E1,1.974050987E1,1.376417875E0,3.493557129E2,1.127189755E0,3.000000000E0
2.986576159E1,6.506175643E1,2.547031049E1,1.964599366E1,1.394100428E0,3.494095154E2,1.073493958E0,3.000000000E0
3.086576259E1,6.506176888E1,2.547030277E1,1.959714432E1,1.404634714E0,3.456414490E2,1.032136559E0,3.000000000E0
3.186577359E1,6.506178065E1,2.547029142E1,1.943777212E1,1.411052704E0,3.401781311E2,9.943861961E-1,3.000000000E0
3.286580959E1,6.506179166E1,2.547028015E1,1.932981145E1,1.403177500E0,3.276918945E2,1.792381167E0,3.000000000E0
3.386580859E1,6.506180216E1,2.547025935E1,1.930721285E1,1.420540333E0,3.247591248E2,1.545318961E0,3.000000000E0
3.486609759E1,6.506180969E1,2.547023513E1,1.929564099E1,1.415763617E0,3.126900940E2,1.363053441E0,3.000000000E0
3.586618159E1,6.506181602E1,2.547021080E1,1.931575257E1,1.401339531E0,3.004403076E2,1.248448849E0,3.000000000E0
3.686584159E1,6.506182094E1,2.547018371E1,1.935966214E1,1.386526108E0,3.040527954E2,1.852532744E0,3.000000000E0
3.786592059E1,6.506182573E1,2.547015825E1,1.942167763E1,1.366739273E0,3.002157593E2,1.978869200E0,3.000000000E0
3.886592459E1,6.506182931E1,2.547012783E1,1.935667261E1,1.368922472E0,2.878920288E2,2.133252859E0,3.000000000E0
3.986605859E1,6.506183165E1,2.547010429E1,1.911067215E1,1.343200684E0,3.066338501E2,1.772783160E0,3.000000000E0
4.086623259E1,6.506184057E1,2.547008661E1,1.914740842E1,1.336429119E0,3.136964111E2,1.551110506E0,3.000000000E0
4.186594459E1,6.506184815E1,2.547007220E1,1.917623962E1,1.315279722E0,3.176883850E2,1.984718561E0,3.000000000E0
4.286626659E1,6.506185939E1,2.547005265E1,1.917226933E1,1.333033681E0,3.152544861E2,2.175064325E0,3.000000000E0
4.386600159E1,6.506187035E1,2.547002636E1,1.917799160E1,1.363633871E0,3.298960876E2,2.173697233E0,3.000000000E0
4.486614659E1,6.506188222E1,2.547001393E1,1.896551301E1,1.371462703E0,3.414424133E2,2.145616531E0,3.000000000E0
4.586605359E1,6.506189615E1,2.546999586E1,1.874194280E1,1.401391029E0,3.273364563E2,2.180057287E0,3.000000000E0
4.686611659E1,6.506190603E1,2.546998229E1,1.870652458E1,1.391195178E0,3.320899353E2,2.080702782E0,3.000000000E0
4.786629459E1,6.506191838E1,2.546996495E1,1.871456877E1,1.407145739E0,3.426662598E2,2.054638624E0,3.000000000E0
4.886614159E1,6.506192973E1,2.546996056E1,1.853450595E1,1.395632505E0,3.513751221E2,2.054730415E0,3.000000000E0
4.986650259E1,6.506194236E1,2.546996286E1,1.829331262E1,1.396257162E0,3.550961609E2,2.052727938E0,3.000000000E0
5.086642359E1,6.506195683E1,2.546995841E1,1.827402283E1,1.411942244E0,3.551571960E2,2.040421009E0,3.000000000E0
5.186616559E1,6.506196950E1,2.546995331E1,1.834324521E1,1.410460949E0,3.434965820E2,2.061398983E0,3.000000000E0
5.286618359E1,6.506197763E1,2.546993830E1,1.847219266E1,1.388028860E0,3.234794006E2,2.026431322E0,3.000000000E0
5.386644959E1,6.506198576E1,2.546990725E1,1.835671683E1,1.411067724E0,3.070260315E2,2.017485142E0,3.000000000E0
5.486623259E1,6.506199120E1,2.546987847E1,1.847549730E1,1.415678740E0,3.066158142E2,2.014606237E0,3.000000000E0
5.586660359E1,6.506199864E1,2.546984766E1,1.859649556E1,1.434242845E0,3.139784241E2,1.979980946E0,3.000000000E0
5.686625159E1,6.506200707E1,2.546982117E1,1.831455062E1,1.443198919E0,3.287407227E2,1.987107038E0,3.000000000E0
5.786625859E1,6.506202141E1,2.546981361E1,1.806432705E1,1.455654263E0,3.481226807E2,1.963342428E0,3.000000000E0
5.886683759E1,6.506203667E1,2.546981104E1,1.799426513E1,1.472607851E0,3.573002014E2,2.010344028E0,3.000000000E0
5.986639159E1,6.506205179E1,2.546981546E1,1.817656294E1,1.487230301E0,4.807350636E0,2.008512735E0,3.000000000E0
6.086631459E1,6.506206556E1,2.546981917E1,1.811996828E1,1.489124060E0,6.978844643E0,1.983803034E0,3.000000000E0
6.186635159E1,6.506208036E1,2.546982524E1,1.812539972E1,1.501327872E0,5.750784397E0,1.953345776E0,3.000000000E0
6.286640159E1,6.506209197E1,2.546982565E1,1.808060802E1,1.484801173E0,5.128435612E0,1.934878826E0,3.000000000E0
6.386638559E1,6.506210608E1,2.546982646E1,1.803133843E1,1.491419315E0,2.057547331E0,1.916700482E0,3.000000000E0
6.486642359E1,6.506211888E1,2.546982310E1,1.790126930E1,1.486280084E0,3.580937500E2,1.933468342E0,3.000000000E0
6.586671259E1,6.506213118E1,2.546982293E1,1.766204193E1,1.476629019E0,2.697887182E0,1.952835917E0,3.000000000E0
6.686647859E1,6.506214486E1,2.546982558E1,1.755652844E1,1.479230404E0,5.058076382E0,1.952029109E0,3.000000000E0
6.786650559E1,6.506215769E1,2.546982948E1,1.753646342E1,1.474057078E0,6.779096127E0,1.953987360E0,3.000000000E0
6.886655759E1,6.506217029E1,2.546983406E1,1.742571790E1,1.467135549E0,9.933054924E0,1.961737633E0,3.000000000E0
6.986647359E1,6.506218184E1,2.546983553E1,1.733767238E1,1.451067448E0,1.109656429E1,1.954362273E0,3.000000000E0
7.086655059E1,6.506219387E1,2.546983276E1,1.721142186E1,1.441332817E0,1.035178757E1,1.977250576E0,3.000000000E0
7.186654159E1,6.506220587E1,2.546983004E1,1.716555305E1,1.434119701E0,6.758331776E0,1.983730078E0,3.000000000E0
7.286655759E1,6.506222024E1,2.546983012E1,1.719188683E1,1.448249698E0,6.778820038E0,1.969486237E0,3.000000000E0
7.386658959E1,6.506223561E1,2.546983117E1,1.731781750E1,1.468352795E0,5.772759438E0,1.950535655E0,3.000000000E0
7.486685759E1,6.506224949E1,2.546983017E1,1.723101020E1,1.472938776E0,6.377552032E0,1.951585531E0,3.000000000E0
7.586681159E1,6.506226281E1,2.546982985E1,1.708241793E1,1.471960306E0,7.197803497E0,1.957796574E0,3.000000000E0
7.686669159E1,6.506227600E1,2.546982984E1,1.709197440E1,1.470303774E0,5.424026966E0,1.965299845E0,3.000000000E0
7.786666259E1,6.506228997E1,2.546982666E1,1.718091113E1,1.475528359E0,5.639825344E0,1.962920427E0,3.000000000E0
7.886665659E1,6.506230445E1,2.546982983E1,1.736907937E1,1.485101461E0,6.443167925E-1,1.979480624E0,3.000000000E0
7.986667759E1,6.506231804E1,2.546982529E1,1.727198372E1,1.487808704E0,6.861539483E-1,1.960272074E0,3.000000000E0
8.086684659E1,6.506233324E1,2.546982566E1,1.709604181E1,1.502875566E0,1.385980010E0,1.945956707E0,3.000000000E0
8.186691859E1,6.506234767E1,2.546982579E1,1.709409493E1,1.509644270E0,2.418261766E0,1.954141855E0,3.000000000E0
8.286672359E1,6.506236007E1,2.546982916E1,1.707597919E1,1.498704314E0,4.104239464E0,1.957268953E0,3.000000000E0
8.386677659E1,6.506237436E1,2.546983095E1,1.704089204E1,1.503601789E0,8.393425941E0,1.968911290E0,3.000000000E0
8.486683359E1,6.506238729E1,2.546983173E1,1.697077830E1,1.495612144E0,8.731950760E0,1.949076176E0,3.000000000E0
8.586685059E1,6.506239854E1,2.546983207E1,1.690143393E1,1.474914908E0,9.255233765E0,1.967561483E0,3.000000000E0
8.686686559E1,6.506241176E1,2.546983214E1,1.697257668E1,1.474681854E0,1.005988598E1,1.958608747E0,3.000000000E0
8.786731359E1,6.506242623E1,2.546983260E1,1.721228640E1,1.485790610E0,9.244353294E0,1.957943201E0,3.000000000E0
8.886688759E1,6.506244181E1,2.546983056E1,1.731307383E1,1.505943656E0,7.675065517E0,1.957583070E0,3.000000000E0
8.986688459E1,6.506245527E1,2.546983119E1,1.749109313E1,1.506107569E0,6.100431442E0,1.960764647E0,3.000000000E0
9.086693859E1,6.506246828E1,2.546982906E1,1.760400077E1,1.501671553E0,8.799601555E0,1.967240572E0,3.000000000E0
9.186696359E1,6.506247959E1,2.546983114E1,1.757098771E1,1.481830597E0,2.389977932E0,1.956732750E0,3.000000000E0
9.286694959E1,6.506249393E1,2.546982979E1,1.740654047E1,1.488160253E0,1.633956432E0,1.913200736E0,3.000000000E0
9.386695859E1,6.506250472E1,2.546983221E1,1.741453534E1,1.463423252E0,3.591118164E2,1.922775984E0,3.000000000E0
9.486698659E1,6.506251713E1,2.546982919E1,1.754730127E1,1.456433058E0,3.574246216E2,1.923156381E0,3.000000000E0
9.586704759E1,6.506253224E1,2.546982808E1,1.727313361E1,1.473438025E0,3.591598511E2,1.905153751E0,3.000000000E0
9.686723359E1,6.506254807E1,2.546982582E1,1.716245202E1,1.494998932E0,1.786019921E0,1.915969133E0,3.000000000E0
9.786703259E1,6.506256388E1,2.546982697E1,1.720638021E1,1.513467789E0,3.407930136E0,1.923141718E0,3.000000000E0
9.886737059E1,6.506257738E1,2.546982703E1,1.752564104E1,1.509480119E0,3.031584501E0,1.917606711E0,3.000000000E0
9.986759059E1,6.506258910E1,2.546982784E1,1.777007528E1,1.490991354E0,5.603236198E0,1.928104520E0,3.000000000E0
1.008673686E2,6.506260166E1,2.546983002E1,1.796308331E1,1.482058287E0,7.273159504E0,1.936858654E0,3.000000000E0
1.018671276E2,6.506261993E1,2.546982720E1,1.820849591E1,1.521982908E0,5.713136673E0,1.954396486E0,3.000000000E0
1.028671466E2,6.506263529E1,2.546981924E1,1.810263325E1,1.535643816E0,5.140962601E0,1.927264690E0,3.000000000E0
1.038673296E2,6.506264656E1,2.546981137E1,1.815041133E1,1.513510942E0,6.988745213E0,1.920786619E0,3.000000000E0
1.048673856E2,6.506265688E1,2.546980553E1,1.842133181E1,1.482986450E0,6.155591488E0,1.924513936E0,3.000000000E0
1.058672016E2,6.506266917E1,2.546980605E1,1.876477149E1,1.467882156E0,7.891175270E0,1.927206755E0,3.000000000E0
1.068673696E2,6.506268189E1,2.546981203E1,1.898784825E1,1.459018230E0,1.573027039E1,1.918630123E0,3.000000000E0
1.078672076E2,6.506269337E1,2.546983918E1,1.902373395E1,1.479018807E0,5.226991272E1,1.935921192E0,3.000000000E0
1.088672406E2,6.506269831E1,2.546989158E1,1.917939952E1,1.552487850E0,7.209815979E1,1.962779999E0,3.000000000E0
1.098672996E2,6.506269561E1,2.546993089E1,1.923951270E1,1.572513103E0,8.057383728E1,1.938987970E0,3.000000000E0
1.108673016E2,6.506269684E1,2.546996964E1,1.952276196E1,1.587843657E0,8.991613770E1,1.941707253E0,3.000000000E0
1.118675136E2,6.506269384E1,2.547000529E1,1.990132161E1,1.592447042E0,9.551226807E1,1.948234558E0,3.000000000E0
1.128673346E2,6.506268978E1,2.547003854E1,2.002308693E1,1.589998126E0,9.858676910E1,1.951613426E0,3.000000000E0
1.138673996E2,6.506268570E1,2.547006997E1,1.979606397E1,1.582443714E0,9.993224335E1,1.995409489E0,3.000000000E0
1.148673486E2,6.506268306E1,2.547009729E1,1.974130237E1,1.559625983E0,1.002979889E2,1.975406647E0,3.000000000E0
1.158675656E2,6.506267903E1,2.547012236E1,1.973557055E1,1.536626697E0,9.797352600E1,1.972497225E0,3.000000000E0
1.168675936E2,6.506267443E1,2.547015218E1,1.982143283E1,1.532753944E0,9.809420776E1,1.979369164E0,3.000000000E0
1.178674556E2,6.506267364E1,2.547018049E1,1.976672510E1,1.515942693E0,9.736100006E1,1.973316431E0,3.000000000E0
1.188674856E2,6.506267347E1,2.547021350E1,1.975224603E1,1.515984058E0,1.020311813E2,1.942010164E0,3.000000000E0
1.198674676E2,6.506267541E1,2.547024797E1,2.005511502E1,1.521375179E0,1.011468201E2,1.910702467E0,3.000000000E0
1.208675356E2,6.506267437E1,2.547028027E1,1.991632022E1,1.517284036E0,9.398622131E1,1.939186573E0,3.000000000E0
1.218675306E2,6.506267408E1,2.547031308E1,1.997373860E1,1.515544176E0,8.841542053E1,1.953889847E0,3.000000000E0
1.228675176E2,6.506267438E1,2.547035432E1,1.988420219E1,1.544135213E0,8.999763489E1,1.942231655E0,3.000000000E0
1.238676126E2,6.506267654E1,2.547039354E1,1.966730504E1,1.564695835E0,9.246629333E1,1.919681311E0,3.000000000E0
1.248675796E2,6.506267896E1,2.547043102E1,1.952393096E1,1.576997638E0,9.322712708E1,1.900228977E0,3.000000000E0
1.258675766E2,6.506267852E1,2.547045810E1,1.960592237E1,1.548767090E0,9.081855774E1,1.908095360E0,3.000000000E0
1.268676516E2,6.506267878E1,2.547048797E1,1.966246609E1,1.532769680E0,9.152474976E1,1.919450521E0,3.000000000E0
1.278676696E2,6.506267514E1,2.547051748E1,1.978227789E1,1.521262884E0,9.045686340E1,1.908199668E0,3.000000000E0
1.288676506E2,6.506267327E1,2.547055154E1,1.975958200E1,1.522797108E0,9.191902924E1,1.926702499E0,3.000000000E0
1.298676776E2,6.506267309E1,2.547058724E1,1.956740145E1,1.529232860E0,9.685994720E1,1.940916538E0,3.000000000E0
1.308677016E2,6.506267038E1,2.547061803E1,1.953567429E1,1.519912362E0,9.419408417E1,1.945271969E0,3.000000000E0
1.318677146E2,6.506267040E1,2.547065147E1,1.951007668E1,1.518640399E0,9.267306519E1,1.963581800E0,3.000000000E0
1.328677216E2,6.506267249E1,2.547067558E1,1.966205727E1,1.486911416E0,9.213133240E1,1.965208769E0,3.000000000E0
1.338677576E2,6.506267419E1,2.547071937E1,1.953367707E1,1.525929928E0,9.421238708E1,1.934144020E0,3.000000000E0
1.348677546E2,6.506267285E1,2.547074931E1,1.949849921E1,1.511722326E0,9.333879852E1,1.949600697E0,3.000000000E0
1.358678336E2,6.506266846E1,2.547077491E1,1.964173712E1,1.489860773E0,9.015564728E1,1.963368773E0,3.000000000E0
1.368677756E2,6.506266743E1,2.547080803E1,1.960620512E1,1.490201473E0,8.830085754E1,1.958735466E0,3.000000000E0
1.378677916E2,6.506267401E1,2.547084435E1,1.979535301E1,1.513462186E0,8.704610443E1,1.959741116E0,3.000000000E0
1.388678136E2,6.506267275E1,2.547088179E1,1.956339840E1,1.528825164E0,8.695938873E1,1.976362228E0,3.000000000E0
1.398678426E2,6.506267378E1,2.547091165E1,1.962749791E1,1.514670491E0,8.911148071E1,1.995937347E0,3.000000000E0
1.408679186E2,6.506267323E1,2.547093315E1,1.988585493E1,1.471486926E0,9.271365356E1,2.033620358E0,3.000000000E0
1.418679516E2,6.506267244E1,2.547095726E1,1.995306335E1,1.441563606E0,9.012812042E1,1.978508949E0,3.000000000E0
1.428679036E2,6.506267206E1,2.547099093E1,1.998365824E1,1.446894884E0,9.081438446E1,1.927067041E0,3.000000000E0
1.438682616E2,6.506267415E1,2.547102828E1,2.019436647E1,1.466464043E0,9.175268555E1,1.943067789E0,3.000000000E0
1.448679786E2,6.506267658E1,2.547106372E1,2.038054469E1,1.478645086E0,9.067421722E1,1.920015574E0,3.000000000E0
1.458682646E2,6.506267655E1,2.547110197E1,2.053881509E1,1.497341156E0,9.334709930E1,1.916295052E0,3.000000000E0
1.468679996E2,6.506267642E1,2.547113246E1,2.047434024E1,1.485853314E0,9.437238312E1,1.936082840E0,3.000000000E0
1.478680686E2,6.506267501E1,2.547116240E1,2.031989884E1,1.474481106E0,9.184617615E1,1.928982854E0,3.000000000E0
